int_mut,nizk,nizk_mut
210.47366,52.418705,138.00194
209.83667,52.4317,132.81001
223.78558,55.228687,136.56595
264.20932,52.316708,143.98985
212.55365,52.544704,123.46315
209.37868,53.660698,121.697174
220.0316,59.999664,124.61114
208.93968,60.219666,133.106
213.58464,60.168663,134.03
223.25858,62.229652,159.83359
214.44963,64.509636,175.07938
215.01163,58.48167,126.87911
212.22365,52.550705,125.28813
218.05661,55.21569,126.34212
220.3906,52.262707,125.49612
210.81265,52.625706,144.31784
203.42271,52.678703,140.07689
239.70947,52.893707,148.30078
210.55266,54.222694,139.7939
212.71666,68.72462,152.80472
207.28868,58.142673,123.05416
247.23341,56.53868,120.4592
212.60466,46.81674,124.56313
210.35068,46.41074,124.08214
209.81166,48.420727,129.23807
230.23154,46.47574,122.448166
215.22563,48.84173,146.31581
204.27571,49.482727,147.6248
215.76463,46.18774,157.40466
229.05556,47.770733,146.62282
257.87537,47.80973,132.16902
228.00755,47.374737,185.27124
217.66261,46.901737,169.07849
233.56052,46.80274,143.96785
218.61661,54.94969,131.81104
213.84464,53.5117,138.81693
209.43167,52.059708,141.2749
222.97859,53.3577,142.23587
214.23366,57.816677,169.96747
207.56068,58.376675,127.6391
217.79762,52.077705,128.32309
227.02757,64.32864,131.10104
221.4726,67.28663,134.629
206.0457,60.246666,126.28313
267.7373,52.373703,123.61016
248.35643,56.276684,145.57782
213.50064,53.791695,128.22008
215.03963,52.512707,135.00099
205.1867,55.680687,144.60886
223.44759,54.880695,133.27202
206.5417,54.89569,139.23093
209.78867,52.669704,141.12991
216.85564,57.094677,193.90312
220.9866,58.34867,150.84375
214.22264,58.51167,127.05112
206.80269,58.441673,124.00016
210.99767,60.315666,124.64815
225.97458,64.21864,123.17317
215.49164,57.01768,145.28085
209.94067,54.460697,151.97073
208.04869,52.642704,116.47827
224.44257,52.5927,122.78318
204.94872,56.119686,126.85313
216.20465,52.795704,118.00525
204.1647,56.357685,125.282135
231.28154,60.378662,123.55617
209.55067,62.84065,144.59386
207.61868,55.415688,142.2489
213.22466,53.097702,116.67627
224.91057,52.845707,123.19118
214.80965,53.7547,131.44405
208.41168,60.54966,124.85915
237.3545,61.673656,117.715256
209.31569,77.81656,122.916176
204.44371,83.04453,145.79683
210.06267,55.92369,158.56465
