sis,nizk
144.26814,56.89568
134.9022,59.944664
134.94421,61.090656
217.66072,62.20665
137.86418,64.72263
127.24924,57.533676
144.84116,60.18566
136.8142,57.796673
132.16522,57.11568
132.65921,59.074665
136.4482,69.53561
127.480255,59.755665
148.81311,56.67968
157.47307,52.047707
143.79814,52.483704
131.85522,53.2117
129.82123,52.426704
141.05215,51.992706
133.5462,53.770695
136.7782,53.1527
151.4131,52.623703
127.319244,54.626694
184.51591,54.761692
143.61816,58.48767
143.38817,54.726692
140.55219,50.076717
133.34622,55.932686
135.75018,56.87968
151.61412,62.850647
128.20023,56.84968
129.66023,57.00468
152.4391,56.71868
137.21118,57.245678
140.91916,57.21468
153.64009,63.729637
145.17815,65.09363
141.88217,57.76568
124.69327,63.931637
124.143265,64.581635
132.78223,69.8886
147.95914,51.86771
122.624275,51.969707
148.59912,51.774708
141.43117,52.054707
135.6052,53.8407
143.10115,52.218704
144.57614,52.9047
132.84322,52.093708
158.03607,51.70171
134.8332,51.71571
208.24178,52.13171
197.82584,51.91871
141.17117,53.3927
177.37195,51.768707
127.95925,55.66469
156.62306,58.841667
123.90527,51.74771
123.23027,52.562702
131.30623,51.591713
136.27321,51.519707
130.49222,54.3317
154.39009,52.114708
141.75516,52.1467
139.09418,56.74668
160.00507,65.931625
137.04118,69.89361
130.52423,59.860664
183.66492,56.65668
131.72023,60.151657
187.13289,56.97668
133.62622,57.01768
146.41313,57.566677
136.7812,57.412678
130.10623,59.097668
151.2801,100.586426
141.90517,60.261658
159.52007,64.97663
136.1832,56.44868
130.72023,51.91071
142.50616,52.944702
140.31117,52.210705
127.750244,52.511703
186.08691,52.121708
135.4752,52.859703
151.7671,54.48069
137.0062,52.338703
182.85092,54.51469
179.19095,52.213703
166.71503,55.30169
141.93117,59.346664
148.71613,66.40863
129.95723,70.6926
163.15604,66.59663
136.9142,52.708706
132.88222,52.10471
139.60017,52.717705
148.28014,52.423706
141.42317,52.449703
127.46924,61.363655
129.67424,63.025646
130.59424,57.852673
124.66727,52.622707
142.07617,56.64568
126.73825,54.93769
137.7562,52.08971
175.64798,58.28167
130.18124,59.796665
145.30115,63.671642
137.54219,60.883656
142.45216,57.14568
145.88014,58.092674
133.79521,65.25564
138.9932,69.04362
156.82108,59.731663
131.68423,60.945656
138.41219,56.48468
149.05112,60.289658
146.15215,51.961708
133.81223,52.545704
129.17024,54.143696
136.1752,52.273705
144.87814,58.124672
132.41122,54.740692
140.31418,52.373703
150.07813,53.4627
133.4582,52.693703
137.56119,51.77171
157.89809,52.6337
150.67812,53.1977
168.12701,51.576706
154.95209,56.96868
154.00009,59.08067
132.70921,59.774662
133.07121,65.70263
167.49202,64.31764
131.78423,63.540646
145.36615,57.685677
146.08415,54.63769
169.03702,57.294674
123.556274,62.218647
147.18013,61.92065
143.31616,54.82269
135.4852,55.104687
128.91324,84.12353
153.5521,64.92663
136.1192,55.92569
130.16724,55.139687
165.80203,54.357697
133.05823,56.178684
168.51003,55.077686
141.18918,54.362694
150.43211,52.8637
149.44913,52.14171
154.78308,57.692677
135.94022,54.65469
129.49324,55.196686
156.54909,61.97765
165.50003,65.192635
142.67516,59.829662
134.59521,59.764664
133.41621,57.619675
143.83916,57.154682
133.45322,57.069683
130.50023,57.12568
147.15613,61.992653
178.45795,60.07366
133.62723,60.029663
139.12119,60.021664
147.55313,57.387676
134.8522,57.22268
174.65396,58.304672
132.83122,57.372673
173.73398,68.06962
137.1882,59.967663
140.18118,54.896694
138.17918,55.307686
149.09613,56.397682
144.93614,59.83966
155.96309,56.211685
142.44917,54.358696
144.20616,55.491688
134.7552,54.53369
129.55424,54.94669
130.16223,53.058704
142.81815,49.921722
134.4342,60.16466
132.88322,59.494663
153.03511,50.100723
144.02417,51.95671
139.22119,55.215687
141.22018,57.404675
153.77809,53.107704
146.20615,59.847664
137.49521,59.314663
137.78519,71.000595
137.0932,73.097595
140.36417,64.78564
132.41924,57.33468
144.39615,55.474686
141.95816,50.25672
131.70323,50.469715
160.22707,52.2527
134.8932,60.48666
131.48323,58.117672
133.36722,56.57768
129.03824,50.540714
146.02513,50.024723
139.80319,52.336704
166.87903,57.68768
137.1962,56.947678
140.48119,62.096653
145.65115,59.824665
134.89021,62.85865
194.75784,59.865665
136.6942,60.010666
